id,year,period,value,footnotes
CES0000000001,2021,M01,142863,
CES0000000001,2021,M02,143380,
CES0000000001,2021,M03,144232,
CES0000000001,2021,M04,144587,
CES0000000001,2021,M05,145065,
CES0000000001,2021,M06,145820,
CES0000000001,2021,M07,146762,
CES0000000001,2021,M08,147314,
CES0000000001,2021,M09,147771,
CES0000000001,2021,M10,148572,
CES0000000001,2021,M11,149230,
CES0000000001,2021,M12,149816,
CES0000000001,2022,M01,150006,
CES0000000001,2022,M02,150825,
CES0000000001,2022,M03,151315,
CES0000000001,2022,M04,151623,
CES0000000001,2022,M05,151924,
CES0000000001,2022,M06,152358,
CES0000000001,2022,M07,153072,
CES0000000001,2022,M08,153362,
CES0000000001,2022,M09,153582,
CES0000000001,2022,M10,153939,
CES0000000001,2022,M11,154242,
CES0000000001,2022,M12,154342,
CES0000000001,2023,M01,154776,
CES0000000001,2023,M02,155066,
CES0000000001,2023,M03,155134,
CES0000000001,2023,M04,155375,
CES0000000001,2023,M05,155655,
CES0000000001,2023,M06,155880,
CES0000000001,2023,M07,156043,
CES0000000001,2023,M08,156261,
CES0000000001,2023,M09,156417,
CES0000000001,2023,M10,156576,
CES0000000001,2023,M11,156703,
CES0000000001,2023,M12,156857,
CES0000000001,2024,M01,157032,
CES0000000001,2024,M02,157238,
CES0000000001,2024,M03,157466,
CES0000000001,2024,M04,157530,
CES0000000001,2024,M05,157608,
CES0000000001,2024,M06,157695,
CES0000000001,2024,M07,157748,
CES0000000001,2024,M08,157757,
CES0000000001,2024,M09,157912,
CES0000000001,2024,M10,157945,
CES0000000001,2024,M11,158079,
CES0000000001,2024,M12,158316,
CES0000000001,2025,M01,158268,
CES0000000001,2025,M02,158310,
CES0000000001,2025,M03,158377,
CES0000000001,2025,M04,158485,
CES0000000001,2025,M05,158498,
CES0000000001,2025,M06,158478,
CES0000000001,2025,M07,158542,
CES0000000001,2025,M08,158472,
CES0000000001,2025,M09,158548,
CES0000000001,2025,M10,158408,
CES0000000001,2025,M11,158449,
CES0000000001,2025,M12,158432,
CES0000000001,2026,M01,158558,preliminary
CES0000000001,2026,M02,158466,preliminary
